alpha,step,alive,died,hazard
1.0,0,24,0,0.0
1.0,1,24,0,0.0
1.0,2,24,0,0.0
1.0,3,24,0,0.0
1.0,4,24,0,0.0
1.0,5,24,0,0.0
1.0,6,24,0,0.0
1.0,7,24,0,0.0
1.0,8,24,0,0.0
1.0,9,24,0,0.0
1.0,10,24,0,0.0
1.0,11,24,0,0.0
1.0,12,24,0,0.0
1.0,13,24,0,0.0
1.0,14,24,0,0.0
1.0,15,24,0,0.0
1.0,16,24,0,0.0
1.0,17,24,0,0.0
1.0,18,24,0,0.0
1.0,19,24,0,0.0
1.0,20,24,0,0.0
1.0,21,24,0,0.0
1.0,22,24,0,0.0
1.0,23,24,0,0.0
1.0,24,24,0,0.0
1.0,25,24,0,0.0
1.0,26,24,0,0.0
1.0,27,24,0,0.0
1.0,28,24,0,0.0
1.0,29,24,0,0.0
1.0,30,24,0,0.0
1.0,31,24,0,0.0
1.0,32,24,0,0.0
1.0,33,24,0,0.0
1.0,34,24,0,0.0
1.0,35,24,0,0.0
1.0,36,24,0,0.0
1.0,37,24,0,0.0
1.0,38,24,0,0.0
1.0,39,24,0,0.0
1.0,40,24,0,0.0
1.0,41,24,0,0.0
1.0,42,24,0,0.0
1.0,43,24,0,0.0
1.0,44,24,0,0.0
1.0,45,24,0,0.0
1.0,46,24,0,0.0
1.0,47,24,0,0.0
1.0,48,24,0,0.0
1.0,49,24,0,0.0
1.0,50,24,0,0.0
1.0,51,24,0,0.0
1.0,52,24,0,0.0
1.0,53,24,0,0.0
1.0,54,24,0,0.0
1.0,55,24,0,0.0
1.0,56,24,0,0.0
1.0,57,24,0,0.0
1.0,58,24,0,0.0
1.0,59,24,0,0.0
1.0,60,24,0,0.0
1.0,61,24,0,0.0
1.0,62,24,0,0.0
1.0,63,24,0,0.0
1.0,64,24,0,0.0
1.0,65,24,0,0.0
1.0,66,24,0,0.0
1.0,67,24,0,0.0
1.0,68,24,0,0.0
1.0,69,24,0,0.0
1.0,70,24,0,0.0
1.0,71,24,0,0.0
1.0,72,24,0,0.0
1.0,73,24,0,0.0
1.0,74,24,0,0.0
1.0,75,24,0,0.0
1.0,76,24,0,0.0
1.0,77,24,0,0.0
1.0,78,24,0,0.0
1.0,79,24,0,0.0
1.0,80,24,0,0.0
1.0,81,24,0,0.0
1.0,82,24,0,0.0
1.0,83,24,0,0.0
1.0,84,24,0,0.0
1.0,85,24,0,0.0
1.0,86,24,0,0.0
1.0,87,24,0,0.0
1.0,88,24,0,0.0
1.0,89,24,0,0.0
1.0,90,24,0,0.0
1.0,91,24,0,0.0
1.0,92,24,0,0.0
1.0,93,24,0,0.0
1.0,94,24,0,0.0
1.0,95,24,0,0.0
1.0,96,24,0,0.0
1.0,97,24,0,0.0
1.0,98,24,0,0.0
1.0,99,24,0,0.0
1.0,100,24,0,0.0
1.5,0,24,0,0.0
1.5,1,24,0,0.0
1.5,2,24,0,0.0
1.5,3,24,0,0.0
1.5,4,24,0,0.0
1.5,5,24,0,0.0
1.5,6,24,0,0.0
1.5,7,24,0,0.0
1.5,8,24,0,0.0
1.5,9,24,0,0.0
1.5,10,24,0,0.0
1.5,11,24,0,0.0
1.5,12,24,0,0.0
1.5,13,24,0,0.0
1.5,14,24,0,0.0
1.5,15,24,0,0.0
1.5,16,24,0,0.0
1.5,17,24,0,0.0
1.5,18,24,0,0.0
1.5,19,24,0,0.0
1.5,20,24,0,0.0
1.5,21,24,0,0.0
1.5,22,24,0,0.0
1.5,23,24,0,0.0
1.5,24,24,0,0.0
1.5,25,24,0,0.0
1.5,26,24,0,0.0
1.5,27,24,0,0.0
1.5,28,24,0,0.0
1.5,29,24,0,0.0
1.5,30,24,0,0.0
1.5,31,24,0,0.0
1.5,32,24,0,0.0
1.5,33,24,0,0.0
1.5,34,24,0,0.0
1.5,35,24,0,0.0
1.5,36,24,0,0.0
1.5,37,24,0,0.0
1.5,38,24,0,0.0
