alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,assigned_count,unassigned_count,satisfied_fraction,unit_unsat_count,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_unit_delta,judge_satisfied_after,judge_occurrences
4.5,100,11,3,2,34501,306508,0,200,200,1,0,100,0.0,0,8b8fcb87ca88e973,"(8, 0)",0.0,,,0.0,0.0,4.0,11.0
4.5,100,11,3,2,34501,306508,1,198,198,1,1,99,0.008888888888888889,0,8b8fcb87ca88e973,"(30, 1)",0.0,,,0.0,0.0,8.0,18.0
4.5,100,11,3,2,34501,306508,2,196,196,1,2,98,0.017777777777777778,0,8b8fcb87ca88e973,"(92, 0)",0.0,,,0.0,0.0,13.0,10.0
4.5,100,11,3,2,34501,306508,3,194,194,1,3,97,0.028888888888888888,0,8b8fcb87ca88e973,"(22, 1)",0.0,,,0.0,0.0,17.0,9.0
4.5,100,11,3,2,34501,306508,4,192,192,1,4,96,0.03777777777777778,0,8b8fcb87ca88e973,"(3, 1)",0.0,,,0.0,0.0,21.0,13.0
4.5,100,11,3,2,34501,306508,5,190,190,1,5,95,0.04666666666666667,0,8b8fcb87ca88e973,"(6, 1)",0.0,,,0.0,0.0,31.0,22.0
4.5,100,11,3,2,34501,306508,6,188,188,1,6,94,0.06888888888888889,0,8b8fcb87ca88e973,"(15, 0)",0.0,,,0.0,0.0,37.0,12.0
4.5,100,11,3,2,34501,306508,7,186,186,1,7,93,0.08222222222222222,0,8b8fcb87ca88e973,"(77, 0)",0.0,,,0.0,0.0,44.0,13.0
4.5,100,11,3,2,34501,306508,8,184,184,1,8,92,0.09777777777777778,0,8b8fcb87ca88e973,"(44, 1)",0.0,,,0.0,0.0,55.0,18.0
4.5,100,11,3,2,34501,306508,9,182,182,1,9,91,0.12222222222222222,0,8b8fcb87ca88e973,"(89, 0)",0.0,,,0.0,0.0,60.0,8.0
4.5,100,11,3,2,34501,306508,10,180,180,1,10,90,0.13333333333333333,0,8b8fcb87ca88e973,"(74, 0)",0.0,,,0.0,0.0,65.0,11.0
4.5,100,11,3,2,34501,306508,11,178,178,1,11,89,0.14444444444444443,0,8b8fcb87ca88e973,"(49, 0)",0.0,,,0.0,0.0,70.0,16.0
4.5,100,11,3,2,34501,306508,12,176,176,1,12,88,0.15555555555555556,0,8b8fcb87ca88e973,"(13, 1)",0.0,,,0.0,0.0,76.0,15.0
4.5,100,11,3,2,34501,306508,13,174,174,1,13,87,0.1688888888888889,0,8b8fcb87ca88e973,"(90, 1)",0.0,,,0.0,0.0,84.0,12.0
4.5,100,11,3,2,34501,306508,14,172,172,1,14,86,0.18666666666666668,0,8b8fcb87ca88e973,"(50, 1)",0.0,,,0.0,0.0,88.0,11.0
4.5,100,11,3,2,34501,306508,15,170,170,1,15,85,0.19555555555555557,0,8b8fcb87ca88e973,"(10, 0)",0.0,,,0.0,0.0,99.0,15.0
4.5,100,11,3,2,34501,306508,16,168,168,1,16,84,0.22,0,8b8fcb87ca88e973,"(70, 1)",0.0,,,0.0,0.0,106.0,10.0
4.5,100,11,3,2,34501,306508,17,166,166,1,17,83,0.23555555555555555,0,8b8fcb87ca88e973,"(40, 1)",0.0,,,0.0,0.0,110.0,13.0
4.5,100,11,3,2,34501,306508,18,164,164,1,18,82,0.24444444444444444,0,8b8fcb87ca88e973,"(91, 1)",0.0,,,0.0,0.0,118.0,12.0
4.5,100,11,3,2,34501,306508,19,162,162,1,19,81,0.26222222222222225,0,8b8fcb87ca88e973,"(97, 1)",0.0,,,0.0,0.0,119.0,7.0
4.5,100,11,3,2,34501,306508,20,160,160,1,20,80,0.2644444444444444,0,8b8fcb87ca88e973,"(62, 0)",0.0,,,0.0,0.0,128.0,15.0
4.5,100,11,3,2,34501,306508,21,158,158,1,21,79,0.28444444444444444,0,8b8fcb87ca88e973,"(86, 1)",0.0,,,0.0,0.0,137.0,16.0
4.5,100,11,3,2,34501,306508,22,156,156,1,22,78,0.30444444444444446,0,8b8fcb87ca88e973,"(42, 0)",0.0,,,0.0,0.0,142.0,13.0
4.5,100,11,3,2,34501,306508,23,154,154,1,23,77,0.31555555555555553,0,8b8fcb87ca88e973,"(59, 1)",0.0,,,0.0,0.0,147.0,13.0
4.5,100,11,3,2,34501,306508,24,152,152,1,24,76,0.32666666666666666,0,8b8fcb87ca88e973,"(14, 1)",0.0,,,0.0,0.0,150.0,12.0
4.5,100,11,3,2,34501,306508,25,150,150,1,25,75,0.3333333333333333,0,8b8fcb87ca88e973,"(27, 1)",0.0,,,0.0,0.0,159.0,19.0
4.5,100,11,3,2,34501,306508,26,148,148,1,26,74,0.35333333333333333,0,8b8fcb87ca88e973,"(37, 0)",0.0,,,0.0,0.0,170.0,16.0
4.5,100,11,3,2,34501,306508,27,146,146,1,27,73,0.37777777777777777,0,8b8fcb87ca88e973,"(29, 0)",0.0,,,0.0,0.0,176.0,11.0
4.5,100,11,3,2,34501,306508,28,144,144,1,28,72,0.39111111111111113,0,8b8fcb87ca88e973,"(75, 0)",0.0,,,0.0,0.0,181.0,9.0
4.5,100,11,3,2,34501,306508,29,142,142,1,29,71,0.4022222222222222,0,8b8fcb87ca88e973,"(67, 0)",0.0,,,0.0,0.0,193.0,15.0
4.5,100,11,3,2,34501,306508,30,140,140,1,30,70,0.4288888888888889,0,8b8fcb87ca88e973,"(2, 1)",0.0,,,0.0,0.0,201.0,15.0
4.5,100,11,3,2,34501,306508,31,138,138,1,31,69,0.44666666666666666,0,8b8fcb87ca88e973,"(12, 1)",0.0,,,0.0,0.0,205.0,12.0
4.5,100,11,3,2,34501,306508,32,136,136,1,32,68,0.45555555555555555,0,8b8fcb87ca88e973,"(25, 0)",0.0,,,0.0,0.0,208.0,11.0
4.5,100,11,3,2,34501,306508,33,134,134,1,33,67,0.4622222222222222,0,8b8fcb87ca88e973,"(7, 1)",0.0,,,0.0,0.0,212.0,11.0
4.5,100,11,3,2,34501,306508,34,132,132,1,34,66,0.4711111111111111,0,8b8fcb87ca88e973,"(24, 0)",0.0,,,0.0,0.0,218.0,10.0
4.5,100,11,3,2,34501,306508,35,130,130,1,35,65,0.48444444444444446,0,8b8fcb87ca88e973,"(11, 1)",0.0,,,0.0,0.0,223.0,13.0
4.5,100,11,3,2,34501,306508,36,128,128,1,36,64,0.4955555555555556,0,8b8fcb87ca88e973,"(73, 0)",0.0,,,0.0,0.0,227.0,10.0
4.5,100,11,3,2,34501,306508,37,126,126,1,37,63,0.5044444444444445,0,8b8fcb87ca88e973,"(78, 0)",0.0,,,0.0,0.0,229.0,9.0
4.5,100,11,3,2,34501,306508,38,124,124,1,38,62,0.5088888888888888,0,8b8fcb87ca88e973,"(0, 1)",0.0,,,0.0,0.0,234.0,14.0
4.5,100,11,3,2,34501,306508,39,122,122,1,39,61,0.52,0,8b8fcb87ca88e973,"(23, 1)",0.0,,,0.0,0.0,238.0,15.0
4.5,100,11,3,2,34501,306508,40,120,120,1,40,60,0.5288888888888889,0,8b8fcb87ca88e973,"(48, 1)",0.0,,,0.0,0.0,246.0,16.0
4.5,100,11,3,2,34501,306508,41,118,118,1,41,59,0.5466666666666666,0,8b8fcb87ca88e973,"(55, 1)",0.0,,,0.0,0.0,250.0,10.0
4.5,100,11,3,2,34501,306508,42,116,116,1,42,58,0.5555555555555556,0,8b8fcb87ca88e973,"(57, 1)",0.0,,,0.0,0.0,255.0,15.0
4.5,100,11,3,2,34501,306508,43,114,114,1,43,57,0.5666666666666667,0,8b8fcb87ca88e973,"(21, 0)",0.0,,,0.0,0.0,258.0,8.0
4.5,100,11,3,2,34501,306508,44,112,112,1,44,56,0.5733333333333334,0,8b8fcb87ca88e973,"(54, 0)",0.0,,,0.0,0.0,261.0,8.0
4.5,100,11,3,2,34501,306508,45,110,110,1,45,55,0.58,0,8b8fcb87ca88e973,"(51, 0)",0.0,,,0.0,0.0,263.0,7.0
4.5,100,11,3,2,34501,306508,46,108,108,1,46,54,0.5844444444444444,0,8b8fcb87ca88e973,"(9, 1)",0.0,,,0.0,0.0,267.0,12.0
4.5,100,11,3,2,34501,306508,47,106,106,1,47,53,0.5933333333333334,0,8b8fcb87ca88e973,"(99, 1)",0.0,,,0.0,0.0,269.0,8.0
4.5,100,11,3,2,34501,306508,48,104,104,1,48,52,0.5977777777777777,0,8b8fcb87ca88e973,"(47, 0)",0.0,,,0.0,0.0,273.0,12.0
4.5,100,11,3,2,34501,306508,49,102,102,1,49,51,0.6066666666666667,0,8b8fcb87ca88e973,"(63, 1)",0.0,,,0.0,0.0,279.0,16.0
4.5,100,11,3,2,34501,306508,50,100,100,1,50,50,0.62,0,8b8fcb87ca88e973,"(72, 1)",0.0,,,0.0,0.0,282.0,10.0
4.5,100,11,3,2,34501,306508,51,98,98,1,51,49,0.6266666666666667,0,8b8fcb87ca88e973,"(20, 1)",1.0,,,1.0,1.0,287.0,15.0
4.5,100,11,3,2,34501,306508,52,96,95,1,52,48,0.6377777777777778,1,8b8fcb87ca88e973,"(1, 0)",1.0,,,1.0,0.0,296.0,18.0
4.5,100,11,3,2,34501,306508,53,94,93,1,53,47,0.6577777777777778,1,8b8fcb87ca88e973,"(68, 0)",1.0,,,1.0,0.0,299.0,13.0
4.5,100,11,3,2,34501,306508,54,92,91,1,54,46,0.6644444444444444,1,8b8fcb87ca88e973,"(46, 1)",2.0,,,2.0,1.0,302.0,14.0
4.5,100,11,3,2,34501,306508,55,90,88,1,55,45,0.6711111111111111,2,8b8fcb87ca88e973,"(28, 1)",3.0,,,3.0,1.0,306.0,11.0
4.5,100,11,3,2,34501,306508,56,88,85,1,56,44,0.68,3,8b8fcb87ca88e973,"(94, 1)",3.0,,,3.0,0.0,310.0,10.0
4.5,100,11,3,2,34501,306508,57,86,83,1,57,43,0.6888888888888889,3,8b8fcb87ca88e973,"(16, 0)",3.0,,,3.0,0.0,313.0,12.0
4.5,100,11,3,2,34501,306508,58,84,81,1,58,42,0.6955555555555556,3,8b8fcb87ca88e973,"(38, 1)",3.0,,,3.0,0.0,316.0,18.0
4.5,100,11,3,2,34501,306508,59,82,79,1,59,41,0.7022222222222222,3,8b8fcb87ca88e973,"(79, 0)",4.0,,,4.0,1.0,325.0,18.0
4.5,100,11,3,2,34501,306508,60,80,76,1,60,40,0.7222222222222222,4,8b8fcb87ca88e973,"(98, 0)",4.0,,,4.0,0.0,329.0,14.0
4.5,100,11,3,2,34501,306508,61,78,74,1,61,39,0.7311111111111112,4,8b8fcb87ca88e973,"(82, 1)",4.0,,,4.0,0.0,334.0,15.0
4.5,100,11,3,2,34501,306508,62,76,72,1,62,38,0.7422222222222222,4,8b8fcb87ca88e973,"(61, 1)",5.0,,,5.0,1.0,338.0,15.0
4.5,100,11,3,2,34501,306508,63,74,69,1,63,37,0.7511111111111111,5,8b8fcb87ca88e973,"(81, 0)",5.0,,,5.0,0.0,342.0,17.0
4.5,100,11,3,2,34501,306508,64,72,67,1,64,36,0.76,5,8b8fcb87ca88e973,"(33, 0)",5.0,,,5.0,0.0,346.0,15.0
4.5,100,11,3,2,34501,306508,65,70,65,1,65,35,0.7688888888888888,5,8b8fcb87ca88e973,"(93, 0)",6.0,,,6.0,1.0,349.0,15.0
