alpha,existence,reachability
0.500000,0.99999858,0.99122707
0.575000,0.99999814,0.98770709
0.650000,0.99999757,0.98279929
0.725000,0.99999683,0.97597977
0.800000,0.99999585,0.96654855
0.875000,0.99999458,0.95359037
0.950000,0.99999291,0.93594521
1.025000,0.99999074,0.91220892
1.100000,0.99998789,0.88079708
1.175000,0.99998417,0.84011593
1.250000,0.99997931,0.78887905
1.325000,0.99997295,0.72656673
1.400000,0.99996464,0.65393099
1.475000,0.99995378,0.57333097
1.550000,0.99993959,0.48863832
1.625000,0.99992104,0.40459299
1.700000,0.99989678,0.32579349
1.775000,0.99986508,0.25574901
1.850000,0.99982365,0.19637748
1.925000,0.99976949,0.14804720
2.000000,0.99969871,0.10998355
2.075000,0.99960620,0.08077836
2.150000,0.99948531,0.05881586
2.225000,0.99932732,0.04254826
2.300000,0.99912088,0.03063359
2.375000,0.99885116,0.02197877
2.450000,0.99849882,0.01572949
2.525000,0.99803862,0.01123667
2.600000,0.99743770,0.00801668
2.675000,0.99665330,0.00571408
2.750000,0.99562982,0.00407014
2.825000,0.99429513,0.00289778
2.900000,0.99255587,0.00206240
2.975000,0.99029152,0.00146750
3.050000,0.98734720,0.00104402
3.125000,0.98352479,0.00074265
3.200000,0.97857269,0.00052823
3.275000,0.97217420,0.00037569
3.350000,0.96393546,0.00026719
3.425000,0.95337436,0.00019002
3.500000,0.93991335,0.00013514
3.575000,0.92288045,0.00009610
3.650000,0.90152506,0.00006834
3.725000,0.87505669,0.00004860
3.800000,0.84271527,0.00003456
3.875000,0.80387858,0.00002458
3.950000,0.75820383,0.00001748
4.025000,0.70578503,0.00001243
4.100000,0.64728877,0.00000884
4.175000,0.58401700,0.00000629
4.250000,0.51784955,0.00000447
4.325000,0.45105015,0.00000318
4.400000,0.38596963,0.00000226
4.475000,0.32472467,0.00000161
4.550000,0.26894142,0.00000114
4.625000,0.21962429,0.00000081
4.700000,0.17715916,0.00000058
4.775000,0.14141687,0.00000041
4.850000,0.11190499,0.00000029
4.925000,0.08792118,0.00000021
5.000000,0.06868013,0.00000015
