alpha,step,alive,died,hazard
1.0,0,18,0,0.0
1.0,1,18,0,0.0
1.0,2,18,0,0.0
1.0,3,18,0,0.0
1.0,4,18,0,0.0
1.0,5,18,0,0.0
1.0,6,18,0,0.0
1.0,7,18,0,0.0
1.0,8,18,0,0.0
1.0,9,18,0,0.0
1.0,10,18,0,0.0
1.0,11,18,0,0.0
1.0,12,18,0,0.0
1.0,13,18,0,0.0
1.0,14,18,0,0.0
1.0,15,18,0,0.0
1.0,16,18,0,0.0
1.0,17,18,0,0.0
1.0,18,18,0,0.0
1.0,19,18,0,0.0
1.0,20,18,0,0.0
1.0,21,18,0,0.0
1.0,22,18,0,0.0
1.0,23,18,0,0.0
1.0,24,18,0,0.0
1.0,25,18,0,0.0
1.0,26,18,0,0.0
1.0,27,18,0,0.0
1.0,28,18,0,0.0
1.0,29,18,0,0.0
1.0,30,18,0,0.0
1.0,31,18,0,0.0
1.0,32,18,0,0.0
1.0,33,18,0,0.0
1.0,34,18,0,0.0
1.0,35,18,0,0.0
1.0,36,18,0,0.0
1.0,37,18,0,0.0
1.0,38,18,0,0.0
1.0,39,18,0,0.0
1.0,40,18,0,0.0
1.0,41,18,0,0.0
1.0,42,18,0,0.0
1.0,43,18,0,0.0
1.0,44,18,0,0.0
1.0,45,18,0,0.0
1.0,46,18,0,0.0
1.0,47,18,0,0.0
1.0,48,18,0,0.0
1.0,49,18,0,0.0
1.0,50,18,0,0.0
1.0,51,18,0,0.0
1.0,52,18,0,0.0
1.0,53,18,0,0.0
1.0,54,18,0,0.0
1.0,55,18,0,0.0
1.0,56,18,0,0.0
1.0,57,18,0,0.0
1.0,58,18,0,0.0
1.0,59,18,0,0.0
1.0,60,18,0,0.0
2.0,0,18,0,0.0
2.0,1,18,0,0.0
2.0,2,18,0,0.0
2.0,3,18,0,0.0
2.0,4,18,0,0.0
2.0,5,18,0,0.0
2.0,6,18,0,0.0
2.0,7,18,0,0.0
2.0,8,18,0,0.0
2.0,9,18,0,0.0
2.0,10,18,0,0.0
2.0,11,18,0,0.0
2.0,12,18,0,0.0
2.0,13,18,0,0.0
2.0,14,18,0,0.0
2.0,15,18,0,0.0
2.0,16,18,0,0.0
2.0,17,18,0,0.0
2.0,18,18,0,0.0
2.0,19,18,0,0.0
2.0,20,18,0,0.0
2.0,21,18,0,0.0
2.0,22,18,0,0.0
2.0,23,18,0,0.0
2.0,24,18,0,0.0
2.0,25,18,0,0.0
2.0,26,18,0,0.0
2.0,27,18,0,0.0
2.0,28,18,0,0.0
2.0,29,18,0,0.0
2.0,30,18,0,0.0
2.0,31,18,0,0.0
2.0,32,18,0,0.0
2.0,33,18,0,0.0
2.0,34,18,0,0.0
2.0,35,18,0,0.0
2.0,36,18,0,0.0
2.0,37,18,0,0.0
2.0,38,18,0,0.0
2.0,39,18,0,0.0
2.0,40,18,0,0.0
2.0,41,18,0,0.0
2.0,42,18,0,0.0
2.0,43,18,0,0.0
2.0,44,18,0,0.0
2.0,45,18,0,0.0
2.0,46,18,0,0.0
2.0,47,18,0,0.0
2.0,48,18,0,0.0
2.0,49,18,0,0.0
2.0,50,18,0,0.0
2.0,51,18,0,0.0
2.0,52,18,0,0.0
2.0,53,18,0,0.0
2.0,54,18,0,0.0
2.0,55,18,0,0.0
2.0,56,18,0,0.0
2.0,57,18,0,0.0
2.0,58,18,4,0.2222222222222222
2.0,59,14,0,0.0
2.0,60,14,0,0.0
3.0,0,18,0,0.0
3.0,1,18,0,0.0
3.0,2,18,0,0.0
3.0,3,18,0,0.0
3.0,4,18,0,0.0
3.0,5,18,0,0.0
3.0,6,18,0,0.0
3.0,7,18,0,0.0
3.0,8,18,0,0.0
3.0,9,18,0,0.0
3.0,10,18,0,0.0
3.0,11,18,0,0.0
3.0,12,18,0,0.0
3.0,13,18,0,0.0
3.0,14,18,0,0.0
3.0,15,18,0,0.0
3.0,16,18,0,0.0
3.0,17,18,0,0.0
3.0,18,18,0,0.0
3.0,19,18,0,0.0
3.0,20,18,0,0.0
3.0,21,18,0,0.0
3.0,22,18,0,0.0
3.0,23,18,0,0.0
3.0,24,18,0,0.0
3.0,25,18,0,0.0
3.0,26,18,0,0.0
3.0,27,18,0,0.0
3.0,28,18,0,0.0
3.0,29,18,0,0.0
3.0,30,18,0,0.0
3.0,31,18,0,0.0
3.0,32,18,0,0.0
3.0,33,18,0,0.0
3.0,34,18,0,0.0
3.0,35,18,0,0.0
3.0,36,18,0,0.0
3.0,37,18,0,0.0
3.0,38,18,0,0.0
3.0,39,18,0,0.0
3.0,40,18,0,0.0
3.0,41,18,0,0.0
3.0,42,18,0,0.0
3.0,43,18,0,0.0
3.0,44,18,0,0.0
3.0,45,18,0,0.0
3.0,46,18,0,0.0
3.0,47,18,0,0.0
3.0,48,18,0,0.0
3.0,49,18,0,0.0
3.0,50,18,0,0.0
3.0,51,18,0,0.0
3.0,52,18,0,0.0
3.0,53,18,0,0.0
3.0,54,18,1,0.05555555555555555
3.0,55,17,3,0.17647058823529413
3.0,56,14,2,0.14285714285714285
3.0,57,12,3,0.25
3.0,58,9,4,0.4444444444444444
3.0,59,5,0,0.0
3.0,60,5,0,0.0
4.0,0,18,0,0.0
4.0,1,18,0,0.0
4.0,2,18,0,0.0
4.0,3,18,0,0.0
4.0,4,18,0,0.0
4.0,5,18,0,0.0
4.0,6,18,0,0.0
4.0,7,18,0,0.0
4.0,8,18,0,0.0
4.0,9,18,0,0.0
4.0,10,18,0,0.0
4.0,11,18,0,0.0
4.0,12,18,0,0.0
4.0,13,18,0,0.0
4.0,14,18,0,0.0
4.0,15,18,0,0.0
4.0,16,18,0,0.0
4.0,17,18,0,0.0
4.0,18,18,0,0.0
4.0,19,18,0,0.0
4.0,20,18,0,0.0
4.0,21,18,0,0.0
4.0,22,18,0,0.0
4.0,23,18,0,0.0
4.0,24,18,0,0.0
4.0,25,18,0,0.0
4.0,26,18,0,0.0
4.0,27,18,0,0.0
4.0,28,18,0,0.0
4.0,29,18,0,0.0
4.0,30,18,0,0.0
4.0,31,18,0,0.0
4.0,32,18,0,0.0
4.0,33,18,0,0.0
4.0,34,18,0,0.0
4.0,35,18,0,0.0
4.0,36,18,0,0.0
4.0,37,18,0,0.0
4.0,38,18,0,0.0
4.0,39,18,0,0.0
4.0,40,18,0,0.0
4.0,41,18,0,0.0
4.0,42,18,0,0.0
4.0,43,18,0,0.0
4.0,44,18,0,0.0
4.0,45,18,0,0.0
4.0,46,18,0,0.0
4.0,47,18,0,0.0
4.0,48,18,2,0.1111111111111111
4.0,49,16,0,0.0
4.0,50,16,1,0.0625
4.0,51,15,1,0.06666666666666667
4.0,52,14,1,0.07142857142857142
4.0,53,13,3,0.23076923076923078
4.0,54,10,4,0.4
4.0,55,6,2,0.3333333333333333
4.0,56,4,3,0.75
4.0,57,1,1,1.0
5.0,0,18,0,0.0
5.0,1,18,0,0.0
5.0,2,18,0,0.0
5.0,3,18,0,0.0
5.0,4,18,0,0.0
5.0,5,18,0,0.0
5.0,6,18,0,0.0
5.0,7,18,0,0.0
5.0,8,18,0,0.0
5.0,9,18,0,0.0
5.0,10,18,0,0.0
5.0,11,18,0,0.0
5.0,12,18,0,0.0
5.0,13,18,0,0.0
5.0,14,18,0,0.0
5.0,15,18,0,0.0
5.0,16,18,0,0.0
5.0,17,18,0,0.0
5.0,18,18,0,0.0
5.0,19,18,0,0.0
5.0,20,18,0,0.0
5.0,21,18,0,0.0
5.0,22,18,0,0.0
5.0,23,18,0,0.0
5.0,24,18,0,0.0
5.0,25,18,0,0.0
5.0,26,18,0,0.0
5.0,27,18,0,0.0
5.0,28,18,0,0.0
5.0,29,18,0,0.0
5.0,30,18,0,0.0
5.0,31,18,0,0.0
5.0,32,18,0,0.0
5.0,33,18,0,0.0
5.0,34,18,0,0.0
5.0,35,18,0,0.0
5.0,36,18,0,0.0
5.0,37,18,0,0.0
5.0,38,18,0,0.0
5.0,39,18,0,0.0
5.0,40,18,1,0.05555555555555555
5.0,41,17,1,0.058823529411764705
5.0,42,16,0,0.0
5.0,43,16,5,0.3125
5.0,44,11,1,0.09090909090909091
5.0,45,10,5,0.5
5.0,46,5,0,0.0
5.0,47,5,2,0.4
5.0,48,3,1,0.3333333333333333
5.0,49,2,1,0.5
5.0,50,1,0,0.0
5.0,51,1,0,0.0
5.0,52,1,0,0.0
5.0,53,1,0,0.0
5.0,54,1,1,1.0
6.0,0,18,0,0.0
6.0,1,18,0,0.0
6.0,2,18,0,0.0
6.0,3,18,0,0.0
6.0,4,18,0,0.0
6.0,5,18,0,0.0
6.0,6,18,0,0.0
6.0,7,18,0,0.0
6.0,8,18,0,0.0
6.0,9,18,0,0.0
6.0,10,18,0,0.0
6.0,11,18,0,0.0
6.0,12,18,0,0.0
6.0,13,18,0,0.0
6.0,14,18,0,0.0
6.0,15,18,0,0.0
6.0,16,18,0,0.0
6.0,17,18,0,0.0
6.0,18,18,0,0.0
6.0,19,18,0,0.0
