alpha,n,trial_index,instance_index,branch_index,instance_seed,process_seed,step,pool_size,valid_moves,exact_local,colored_count,uncolored_count,unit_vertex_count,available_moves_now,instance_id,chosen_move,chosen_score,stop_reason,success,judge_unit_after,judge_colored_after
3.0,60,16,5,1,53007,504014,0,180,180,1,0,60,0,180,d641ac894ef8be90,"(55, 2)",0.0,,,0.0,1.0
3.0,60,16,5,1,53007,504014,1,175,175,1,1,59,0,175,d641ac894ef8be90,"(13, 2)",0.0,,,0.0,2.0
3.0,60,16,5,1,53007,504014,2,167,167,1,2,58,0,167,d641ac894ef8be90,"(3, 0)",0.0,,,0.0,3.0
3.0,60,16,5,1,53007,504014,3,161,161,1,3,57,0,161,d641ac894ef8be90,"(24, 2)",0.0,,,0.0,4.0
3.0,60,16,5,1,53007,504014,4,156,156,1,4,56,0,156,d641ac894ef8be90,"(48, 0)",0.0,,,0.0,5.0
3.0,60,16,5,1,53007,504014,5,148,148,1,5,55,0,148,d641ac894ef8be90,"(51, 2)",0.0,,,0.0,6.0
3.0,60,16,5,1,53007,504014,6,143,143,1,6,54,0,143,d641ac894ef8be90,"(6, 1)",0.0,,,0.0,7.0
3.0,60,16,5,1,53007,504014,7,139,139,1,7,53,0,139,d641ac894ef8be90,"(33, 0)",0.0,,,0.0,8.0
3.0,60,16,5,1,53007,504014,8,136,136,1,8,52,0,136,d641ac894ef8be90,"(40, 0)",0.0,,,0.0,9.0
3.0,60,16,5,1,53007,504014,9,131,131,1,9,51,0,131,d641ac894ef8be90,"(44, 2)",0.0,,,0.0,10.0
3.0,60,16,5,1,53007,504014,10,127,127,1,10,50,0,127,d641ac894ef8be90,"(58, 0)",0.0,,,0.0,11.0
3.0,60,16,5,1,53007,504014,11,123,123,1,11,49,0,123,d641ac894ef8be90,"(39, 2)",0.0,,,0.0,12.0
3.0,60,16,5,1,53007,504014,12,119,119,1,12,48,0,119,d641ac894ef8be90,"(46, 2)",0.0,,,0.0,13.0
3.0,60,16,5,1,53007,504014,13,116,116,1,13,47,0,116,d641ac894ef8be90,"(54, 0)",0.0,,,0.0,14.0
3.0,60,16,5,1,53007,504014,14,112,112,1,14,46,0,112,d641ac894ef8be90,"(2, 2)",0.0,,,0.0,15.0
3.0,60,16,5,1,53007,504014,15,109,109,1,15,45,0,109,d641ac894ef8be90,"(4, 2)",0.0,,,0.0,16.0
3.0,60,16,5,1,53007,504014,16,105,105,1,16,44,0,105,d641ac894ef8be90,"(1, 2)",0.0,,,0.0,17.0
3.0,60,16,5,1,53007,504014,17,103,103,1,17,43,0,103,d641ac894ef8be90,"(22, 1)",0.0,,,0.0,18.0
3.0,60,16,5,1,53007,504014,18,101,101,1,18,42,0,101,d641ac894ef8be90,"(42, 0)",0.0,,,0.0,19.0
3.0,60,16,5,1,53007,504014,19,98,98,1,19,41,0,98,d641ac894ef8be90,"(28, 2)",0.0,,,0.0,20.0
3.0,60,16,5,1,53007,504014,20,94,94,1,20,40,0,94,d641ac894ef8be90,"(12, 2)",0.0,,,0.0,21.0
3.0,60,16,5,1,53007,504014,21,91,91,1,21,39,0,91,d641ac894ef8be90,"(38, 0)",0.0,,,0.0,22.0
3.0,60,16,5,1,53007,504014,22,88,88,1,22,38,0,88,d641ac894ef8be90,"(50, 0)",0.0,,,0.0,23.0
3.0,60,16,5,1,53007,504014,23,86,86,1,23,37,0,86,d641ac894ef8be90,"(45, 2)",0.0,,,0.0,24.0
3.0,60,16,5,1,53007,504014,24,83,83,1,24,36,0,83,d641ac894ef8be90,"(37, 0)",0.0,,,0.0,25.0
3.0,60,16,5,1,53007,504014,25,80,80,1,25,35,0,80,d641ac894ef8be90,"(10, 0)",0.0,,,0.0,26.0
3.0,60,16,5,1,53007,504014,26,76,76,1,26,34,0,76,d641ac894ef8be90,"(27, 0)",0.0,,,0.0,27.0
3.0,60,16,5,1,53007,504014,27,73,73,1,27,33,0,73,d641ac894ef8be90,"(17, 2)",0.0,,,0.0,28.0
3.0,60,16,5,1,53007,504014,28,70,70,1,28,32,0,70,d641ac894ef8be90,"(19, 1)",0.0,,,0.0,29.0
3.0,60,16,5,1,53007,504014,29,66,66,1,29,31,0,66,d641ac894ef8be90,"(25, 2)",0.0,,,0.0,30.0
3.0,60,16,5,1,53007,504014,30,64,64,1,30,30,0,64,d641ac894ef8be90,"(16, 1)",0.0,,,0.0,31.0
3.0,60,16,5,1,53007,504014,31,62,62,1,31,29,0,62,d641ac894ef8be90,"(30, 2)",0.0,,,0.0,32.0
3.0,60,16,5,1,53007,504014,32,60,60,1,32,28,0,60,d641ac894ef8be90,"(59, 2)",0.0,,,0.0,33.0
3.0,60,16,5,1,53007,504014,33,58,58,1,33,27,0,58,d641ac894ef8be90,"(21, 0)",0.0,,,0.0,34.0
3.0,60,16,5,1,53007,504014,34,56,56,1,34,26,0,56,d641ac894ef8be90,"(8, 0)",0.0,,,0.0,35.0
3.0,60,16,5,1,53007,504014,35,54,54,1,35,25,0,54,d641ac894ef8be90,"(23, 2)",0.0,,,0.0,36.0
3.0,60,16,5,1,53007,504014,36,51,51,1,36,24,0,51,d641ac894ef8be90,"(15, 2)",0.0,,,0.0,37.0
3.0,60,16,5,1,53007,504014,37,48,48,1,37,23,0,48,d641ac894ef8be90,"(49, 0)",0.0,,,0.0,38.0
3.0,60,16,5,1,53007,504014,38,44,44,1,38,22,0,44,d641ac894ef8be90,"(0, 0)",0.0,,,0.0,39.0
3.0,60,16,5,1,53007,504014,39,42,42,1,39,21,0,42,d641ac894ef8be90,"(56, 2)",1.0,,,1.0,40.0
3.0,60,16,5,1,53007,504014,40,39,36,1,40,20,1,39,d641ac894ef8be90,"(18, 2)",1.0,,,1.0,41.0
3.0,60,16,5,1,53007,504014,41,37,35,1,41,19,1,37,d641ac894ef8be90,"(14, 2)",2.0,,,2.0,42.0
3.0,60,16,5,1,53007,504014,42,34,31,1,42,18,2,34,d641ac894ef8be90,"(20, 1)",2.0,,,2.0,43.0
3.0,60,16,5,1,53007,504014,43,32,28,1,43,17,2,32,d641ac894ef8be90,"(57, 2)",3.0,,,3.0,44.0
3.0,60,16,5,1,53007,504014,44,29,23,1,44,16,3,29,d641ac894ef8be90,"(32, 1)",4.0,,,4.0,45.0
3.0,60,16,5,1,53007,504014,45,26,19,1,45,15,4,26,d641ac894ef8be90,"(34, 1)",4.0,,,4.0,46.0
3.0,60,16,5,1,53007,504014,46,24,16,1,46,14,4,24,d641ac894ef8be90,"(41, 1)",4.0,,,4.0,47.0
3.0,60,16,5,1,53007,504014,47,22,15,1,47,13,4,22,d641ac894ef8be90,"(31, 2)",4.0,,,4.0,48.0
3.0,60,16,5,1,53007,504014,48,20,13,1,48,12,4,20,d641ac894ef8be90,"(5, 1)",4.0,,,4.0,49.0
3.0,60,16,5,1,53007,504014,49,18,12,1,49,11,4,18,d641ac894ef8be90,"(36, 2)",3.0,,,3.0,50.0
3.0,60,16,5,1,53007,504014,50,17,11,1,50,10,3,17,d641ac894ef8be90,"(52, 0)",4.0,,,4.0,51.0
3.0,60,16,5,1,53007,504014,51,14,7,1,51,9,4,14,d641ac894ef8be90,"(29, 0)",4.0,,,4.0,52.0
3.0,60,16,5,1,53007,504014,52,12,6,1,52,8,4,12,d641ac894ef8be90,"(35, 0)",4.0,,,4.0,53.0
3.0,60,16,5,1,53007,504014,53,10,5,1,53,7,4,10,d641ac894ef8be90,"(9, 1)",3.0,,,3.0,54.0
3.0,60,16,5,1,53007,504014,54,9,4,1,54,6,3,9,d641ac894ef8be90,"(11, 1)",4.0,,,4.0,55.0
3.0,60,16,5,1,53007,504014,55,6,0,1,55,5,4,6,d641ac894ef8be90,,,no_legal_move,0,,
